[12:58:04] Type: PROCESS_CREATED | Details: filecoauth | Severity: LOW
[EID-1075] [15:16:36] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1076] [15:16:40] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1077] [15:16:43] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1078] [15:16:47] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1079] [15:16:51] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1080] [15:16:54] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1081] [15:16:58] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1082] [15:17:01] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1083] [15:17:05] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1084] [15:17:08] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1085] [15:17:11] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
